updated,power_value
2019-01-04 18:15:53,105758.8
2019-01-04 18:25:53,105764.1
2019-01-04 18:35:53,105767.29999999999
2019-01-04 18:45:53,105771.9
2019-01-04 18:55:53,105775.2
2019-01-04 19:05:53,105778.3
2019-01-04 19:15:53,105783.7
2019-01-04 19:25:53,105786.5
2019-01-04 19:35:53,105789.2
2019-01-04 19:45:53,105791.40000000001
2019-01-04 19:55:53,105796.4
2019-01-04 20:05:53,105799.3
2019-01-04 20:15:53,105804.4
2019-01-04 20:25:53,105806.90000000001
2019-01-04 20:35:53,105809.8
2019-01-04 20:45:53,105814.6
2019-01-04 20:55:53,105817.7
2019-01-04 21:05:53,105821.4
2019-01-04 21:15:53,105825.3
2019-01-04 21:25:53,105829.0
2019-01-04 21:35:53,105832.4
2019-01-04 21:45:53,105834.8
2019-01-04 21:55:53,105839.4
2019-01-04 22:05:53,105842.3
2019-01-04 22:15:53,105846.0
2019-01-04 22:25:53,105849.59999999999
2019-01-04 22:35:53,105853.8
2019-01-04 22:45:53,105857.0
2019-01-04 22:55:53,105860.4
2019-01-04 23:05:53,105864.5
2019-01-04 23:15:53,105868.3
2019-01-04 23:25:53,105870.7
2019-01-04 23:35:53,105874.8
2019-01-04 23:45:53,105877.7
2019-01-04 23:55:53,105880.2
2019-01-05 00:05:53,105883.7
2019-01-05 00:15:53,105885.7
2019-01-05 00:25:53,105888.0
2019-01-05 00:35:53,105893.90000000001
2019-01-05 00:45:53,105898.29999999999
2019-01-05 00:55:53,105899.3
2019-01-05 01:05:53,105901.09999999999
2019-01-05 01:15:53,105902.7
2019-01-05 01:25:53,105904.3
2019-01-05 01:35:53,105914.4
2019-01-05 01:45:53,105918.4
2019-01-05 01:55:53,105921.6
2019-01-05 02:05:53,105925.2
2019-01-05 02:15:53,105928.6
2019-01-05 02:25:53,105932.0
2019-01-05 02:35:53,105934.40000000001
2019-01-05 02:45:53,105937.6
2019-01-05 02:55:53,105939.09999999999
2019-01-05 03:05:53,105944.1
2019-01-05 03:15:53,105946.9
2019-01-05 03:25:53,105949.3
2019-01-05 03:35:53,105952.9
2019-01-05 03:45:53,105955.3
2019-01-05 03:55:53,105957.8
2019-01-05 04:05:53,105962.90000000001
2019-01-05 04:15:53,105966.7
2019-01-05 04:25:53,105969.9
2019-01-05 04:35:53,105972.1
2019-01-05 04:45:53,105974.8
2019-01-05 04:55:53,105977.5
2019-01-05 05:05:53,105981.8
2019-01-05 05:15:53,105984.7
2019-01-05 05:25:53,105987.9
2019-01-05 05:35:53,105990.5
2019-01-05 05:45:53,105993.5
2019-01-05 05:55:53,105997.20000000001
2019-01-05 06:05:53,106000.7
2019-01-05 06:15:53,106004.0
2019-01-05 06:25:53,106006.3
2019-01-05 06:35:53,106009.3
2019-01-05 06:45:53,106010.59999999999
2019-01-05 06:55:53,106014.8
2019-01-05 07:05:53,106019.0
2019-01-05 07:15:53,106020.3
2019-01-05 07:25:53,106024.40000000001
2019-01-05 07:35:53,106026.90000000001
2019-01-05 07:45:53,106031.7
2019-01-05 07:55:53,106035.2
2019-01-05 08:05:53,106038.7
2019-01-05 08:15:53,106042.6
2019-01-05 08:25:53,106044.7
2019-01-05 08:35:53,106046.3
2019-01-05 08:45:53,106050.0
2019-01-05 08:55:53,106052.20000000001
2019-01-05 09:05:53,106053.2
2019-01-05 09:15:53,106054.90000000001
2019-01-05 09:25:53,106057.0
2019-01-05 09:35:53,106066.29999999999
2019-01-05 09:45:53,106069.8
2019-01-05 09:55:53,106071.1
2019-01-05 10:05:53,106072.2
2019-01-05 10:15:53,106078.9
2019-01-05 10:25:53,106081.0
2019-01-05 10:35:53,106083.9
2019-01-05 10:45:53,106087.5
2019-01-05 10:55:53,106090.5
2019-01-05 11:05:53,106093.3
2019-01-05 11:15:53,106098.3
2019-01-05 11:25:53,106101.3
2019-01-05 11:35:53,106104.9
2019-01-05 11:45:53,106108.0
2019-01-05 11:55:53,106110.4
2019-01-05 12:05:53,106112.59999999999
2019-01-05 12:15:53,106116.5
2019-01-05 12:25:53,106119.7
2019-01-05 12:35:53,106123.59999999999
2019-01-05 12:45:53,106125.9
2019-01-05 12:55:53,106128.9
2019-01-05 13:05:53,106131.5
2019-01-05 13:15:53,106133.8
2019-01-05 13:25:53,106137.9
2019-01-05 13:35:53,106140.6
2019-01-05 13:45:53,106142.40000000001
2019-01-05 13:55:53,106145.6
2019-01-05 14:05:53,106149.59999999999
2019-01-05 14:15:53,106152.8
2019-01-05 14:25:53,106154.5
2019-01-05 14:35:53,106155.9
2019-01-05 14:45:53,106159.9
2019-01-05 14:55:53,106162.9
2019-01-05 15:05:53,106166.3
2019-01-05 15:15:53,106169.8
2019-01-05 15:25:53,106172.6
2019-01-05 15:35:53,106175.0
2019-01-05 15:45:53,106178.6
2019-01-05 15:55:53,106181.1
2019-01-05 16:05:53,106184.2
2019-01-05 16:15:53,106188.2
2019-01-05 16:25:53,106191.6
2019-01-05 16:35:53,106193.29999999999
2019-01-05 16:45:53,106198.1
2019-01-05 16:55:53,106199.8
2019-01-05 17:05:53,106204.2
2019-01-05 17:15:53,106207.9
2019-01-05 17:25:53,106212.09999999999
2019-01-05 17:35:53,106214.2
2019-01-05 17:45:53,106218.0
2019-01-05 17:55:53,106221.59999999999
2019-01-05 18:05:53,106223.90000000001
2019-01-05 18:15:53,106225.2
2019-01-05 18:25:53,106232.3
2019-01-05 18:35:53,106235.7
2019-01-05 18:45:53,106239.3
2019-01-05 18:55:53,106243.7
2019-01-05 19:05:53,106246.5
2019-01-05 19:15:53,106249.5
2019-01-05 19:25:53,106252.5
2019-01-05 19:35:53,106255.5
2019-01-05 19:45:53,106258.0
2019-01-05 19:55:53,106259.3
2019-01-05 20:05:53,106265.9
2019-01-05 20:15:53,106269.7
2019-01-05 20:25:53,106274.2
2019-01-05 20:35:53,106276.59999999999
2019-01-05 20:45:53,106280.9
2019-01-05 20:55:53,106284.8
2019-01-05 21:05:53,106288.3
2019-01-05 21:15:53,106290.7
2019-01-05 21:25:53,106294.5
2019-01-05 21:35:53,106297.40000000001
2019-01-05 21:45:53,106300.90000000001
2019-01-05 21:56:17,106305.1
2019-01-05 22:05:53,106308.6
2019-01-05 22:15:53,106311.6
2019-01-05 22:25:53,106314.90000000001
2019-01-05 22:35:53,106319.4
2019-01-05 22:45:53,106322.7
2019-01-05 22:55:53,106326.4
2019-01-05 23:05:53,106330.7
2019-01-05 23:15:53,106334.1
2019-01-05 23:25:53,106337.8
2019-01-05 23:35:53,106340.1
2019-01-05 23:45:53,106341.8
2019-01-05 23:55:53,106346.2
2019-01-06 00:05:53,106348.5
2019-01-06 00:15:53,106355.2
2019-01-06 00:25:53,106359.2
2019-01-06 00:35:53,106362.4
2019-01-06 00:45:53,106365.9
2019-01-06 00:55:53,106369.8
2019-01-06 01:05:53,106373.0
2019-01-06 01:15:53,106377.3
2019-01-06 01:25:53,106379.3
2019-01-06 01:35:53,106382.8
2019-01-06 01:45:53,106386.59999999999
2019-01-06 01:55:53,106390.1
2019-01-06 02:05:53,106393.90000000001
2019-01-06 02:15:53,106397.5
2019-01-06 02:25:53,106400.90000000001
2019-01-06 02:35:53,106403.7
2019-01-06 02:45:53,106404.90000000001
2019-01-06 02:55:53,106411.2
2019-01-06 03:05:53,106413.09999999999
2019-01-06 03:15:53,106417.3
2019-01-06 03:25:53,106420.9
2019-01-06 03:35:53,106424.09999999999
2019-01-06 03:45:53,106429.0
2019-01-06 03:55:53,106432.2
2019-01-06 04:05:53,106435.3
2019-01-06 04:15:53,106438.6
2019-01-06 04:25:53,106441.5
2019-01-06 04:35:53,106443.3
2019-01-06 04:45:53,106449.5
2019-01-06 04:55:53,106452.8
2019-01-06 05:05:53,106455.9
2019-01-06 05:15:53,106458.6
2019-01-06 05:25:53,106460.5
2019-01-06 05:35:53,106465.5
2019-01-06 05:45:53,106471.1
